3, -13, -4, 31
28, -18, 28, 0
-13, -3, -22, 1
1, -17, 9, 30
-18, 5, 23, 2
-15, -8, -27, 8
17, -1, -7, 22
-32, -11, 8, -5
13, 4, 21, 20
-31, -7, 21, -32
21, 1, 15, 17
-9, 5, -1, -8
-17, 4, 22, -28
26, -18, -16, 10
-11, 27, -10, 6
9, -1, -3, 4
26, 15, -1, 9
-6, -20, 3, -1
9, -12, -26, 27
8, 28, -5, -5
-42, -3, 8, 12
2, 6, -17, 16
14, -16, 15, 8
2, -19, -16, 8
-4, 3, 35, -11
12, -3, -19, -15
-22, -11, -17, 10
17, 27, 14, -10
2, -26, 12, -6
-9, 33, 3, 4
30, -6, -30, 3
-29, -4, -8, 26
4, 3, -9, -7
-5, 12, -19, -4
18, 28, -25, 5
13, -3, 34, 3
-4, 12, -3, -7
0, 5, 6, 28
2, -7, 3, -18
19, -9, -7, 53
19, -2, 3, -6
-5, 8, 8, 20
-2, 11, 2, 25
2, 8, -9, -11
-6, 18, -26, -6
7, 5, 27, 10
-16, 4, -3, 35
-13, -9, -1, 17
9, -22, -4, 32
-33, 21, 22, -19
6, 0, 8, -4
21, -21, 8, -5
3, 1, 25, -17
18, -18, 3, 37
-15, 5, -20, 13
18, -3, 16, 26
8, 9, 20, 20
-6, 8, 36, -33
29, 6, -15, 28
2, 21, -14, 1
11, -13, 14, -4
0, 5, -27, -4
-7, -32, 29, -13
13, 19, -13, 13
24, -14, -14, -25
-14, 26, 41, 14
20, -6, -25, -27
-8, -23, 20, 9
-20, 9, -9, -4
21, -9, 6, -25
-9, -12, 26, 12
3, -14, -1, -18
-3, 29, 15, 20
-13, -27, -6, -8
3, 10, 6, 25
-10, 1, 6, 0
-9, 36, 20, -1
27, -1, -15, -17
-17, 2, 20, -10
45, -5, 7, -15
-22, -2, -6, -31
3, 17, -13, -22
20, -29, 4, 3
1, 29, 8, 30
-2, 2, 14, -19
-17, -6, 3, -15
7, -11, -5, 9
5, -8, 1, -3
-8, 9, 26, 0
6, -21, 17, 29
-13, -7, 1, -11
-6, 7, 10, 42
-4, -21, -16, -16
2, 27, 15, 11
-8, -23, 3, 16
4, 2, 6, -11
22, 29, 6, -19
-14, 3, -14, 21
20, 12, 7, 3
7, -6, -11, -14
-4, -23, 21, 14
8, -13, -8, -11
-13, 6, -4, 35
8, -6, 9, -19
-14, 32, -32, 27
5, 14, -18, -5
4, -11, 15, 14
11, 1, 3, -5
6, 8, -43, -22
-17, -7, 28, 28
12, -2, -5, 3
16, 3, -26, -12
4, -20, 14, -9
2, 2, -2, 26
-5, 1, 1, -1
-18, -21, 20, 1
13, 14, 3, -1
0, -4, -8, 30
-12, 19, 6, -11
-11, -4, -14, -5
-4, 13, 9, 24
2, -5, -19, -1
18, 6, -8, 1
-21, 10, -11, 21
11, -18, 26, -9
-4, 11, -34, 5
15, 4, 16, 8
-22, -5, 19, -10
-4, 9, 6, 2
8, -4, -7, -1
-28, -24, -24, 20
13, 15, 5, -9
-9, -20, 7, 26
38, -2, 11, 8
-35, 7, -6, -1
14, -33, 0, -6
